ticker,year,market_cap,data_quality_flag_x,company_name,cik,revenue,net_income,assets,liabilities,equity,cash,debt,operating_income,gross_profit,shares_outstanding,data_source,data_quality_flag_y,profit_margin,gross_margin,operating_margin,debt_to_assets,return_on_assets,return_on_equity,cash_to_assets,revenue_growth,net_income_growth,log_assets,log_revenue,log_market_cap,company_id
AAPL,2017,812428645887.5732,ok,Apple Inc,320193,233715000000.0,53394000000.0,321686000000.0,193437000000.0,111547000000.0,13844000000.0,75427000000.0,71230000000.0,93626000000.0,5134312000.0,sec_company_facts,ok,0.22845773698735639,0.4005990201741437,0.3047729071732666,0.23447399016432172,0.1659817337403555,0.4786681847113773,0.043035755363926315,,,26.49684175143808,26.17736826128384,27.423293926847798,320193
AAPL,2018,710414450456.8176,ok,Apple Inc,320193,215639000000.0,45687000000.0,375319000000.0,241272000000.0,119355000000.0,21120000000.0,97207000000.0,60024000000.0,84263000000.0,4745398000.0,sec_company_facts,ok,0.211867983064288,0.3907595564809705,0.27835410106706115,0.25899834540750666,0.12172844966548456,0.3827824556993842,0.0562721311737482,-0.07734206191301374,-0.14434206090571977,26.65104216797166,26.096871550160564,27.289114369713687,320193
AAPL,2019,1256916113205.4138,ok,Apple Inc,320193,229234000000.0,48351000000.0,365725000000.0,258578000000.0,128249000000.0,25913000000.0,93735000000.0,61344000000.0,88186000000.0,4443265000.0,sec_company_facts,ok,0.21092420845075338,0.38469860491899105,0.2676042820872994,0.25629913186137127,0.13220589240549593,0.3770087875928857,0.07085378358055916,0.06304518199398057,0.05830980366406191,26.62514752181056,26.158009152844738,27.85968230759407,320193
AAPL,2020,2192006406421.448,ok,Apple Inc,320193,265595000000.0,59531000000.0,338516000000.0,248028000000.0,134047000000.0,48844000000.0,91807000000.0,70898000000.0,101839000000.0,17001802000.0,sec_company_facts,ok,0.22414202074587247,0.38343718820007905,0.26694026619477024,0.2712043153056281,0.17585874818324687,0.44410542570889316,0.1442886008342294,0.15861957650261305,0.23122582780087275,26.547837195537657,26.305238429070286,28.41583840764757,320193
AAPL,2021,2848134096781.128,ok,Apple Inc,320193,260174000000.0,55256000000.0,323888000000.0,258549000000.0,107147000000.0,38016000000.0,98667000000.0,63930000000.0,98392000000.0,16406397000.0,sec_company_facts,ok,0.21238094505984456,0.3781776810903472,0.24572017188496928,0.30463308304105124,0.17060218347082942,0.5157027261612551,0.11737390702959048,-0.0204107758052674,-0.0718113251919168,26.50366361396563,26.28461647489612,28.67768519291377,320193
AAPL,2022,2032446555848.877,ok,Apple Inc,320193,274515000000.0,57411000000.0,351002000000.0,287912000000.0,90488000000.0,34940000000.0,109106000000.0,66288000000.0,104956000000.0,15908118000.0,sec_company_facts,ok,0.20913611278072236,0.38233247727810865,0.24147314354406862,0.3108415336664748,0.16356317058022463,0.6344598178764035,0.09954359234420317,0.05512080376978479,0.03900028956131463,26.58405775840174,26.338271741211766,28.34026138323736,320193
AAPL,2023,2960855873948.4863,ok,Apple Inc,320193,365817000000.0,94680000000.0,352755000000.0,302083000000.0,65339000000.0,23646000000.0,110087000000.0,108949000000.0,152836000000.0,15552752000.0,sec_company_facts,ok,0.2588179335569424,0.4177935962516778,0.29782377527561593,0.31207778769967826,0.26840158183441765,1.4490579898682256,0.067032359569673,0.33259384733074704,0.649161310550243,26.589039601923314,26.625399045306096,28.71649948907391,320193
AAPL,2024,3761273493856.064,ok,Apple Inc,320193,394328000000.0,99803000000.0,352583000000.0,290437000000.0,63090000000.0,29965000000.0,105103000000.0,119437000000.0,170782000000.0,15115823000.0,sec_company_facts,ok,0.2530964070519973,0.43309630561360085,0.30288744395528594,0.2980943494155986,0.28306242785386704,1.5819147249960375,0.08498708105609176,0.0779378760418461,0.05410857625686516,26.588551892475053,26.700448887228625,28.955778711160573,320193
MSFT,2017,603274357761.5577,ok,Microsoft Corp,789019,93580000000.0,12193000000.0,193468000000.0,121471000000.0,80083000000.0,8669000000.0,40600000000.0,18161000000.0,60542000000.0,7702243979.0,sec_company_facts,ok,0.13029493481513144,0.646954477452447,0.19406924556529173,0.2098538259557136,0.06302334236152748,0.15225453591898405,0.04480844377364732,,,25.988377961063346,25.262082522384482,27.125637918193895,789019
MSFT,2018,725507830119.0659,ok,Microsoft Corp,789019,91154000000.0,20539000000.0,250312000000.0,162601000000.0,83090000000.0,5595000000.0,77100000000.0,26078000000.0,58374000000.0,7668217316.0,sec_company_facts,ok,0.22532198257893235,0.6403887925927552,0.28608728086534874,0.3080155965355237,0.08205359711080572,0.24718979419906126,0.022352104573492283,-0.025924342808292367,0.6844911014516526,26.245973976703972,25.235816220816396,27.310137701933385,789019
