company_id,ticker,year,market_cap,data_quality_flag
6951,AMAT,2012,11388031900.405884,ok
6951,AMAT,2013,,missing_shares
6951,AMAT,2014,26466010133.743286,ok
6951,AMAT,2015,19230875015.25879,ok
6951,AMAT,2016,,missing_shares
6281,ADI,2010,,missing_shares
6281,ADI,2011,7744719616.001766,ok
6281,ADI,2012,9429536903.967148,ok
6281,ADI,2013,12141462078.882248,ok
6281,ADI,2014,13625789480.532389,ok
6281,ADI,2015,13992128442.874542,ok
6281,ADI,2016,,missing_shares
743988,XLNX,2010,,missing_price
743988,XLNX,2011,,missing_price
743988,XLNX,2012,,missing_price
743988,XLNX,2013,,missing_price
743988,XLNX,2014,,missing_price
743988,XLNX,2015,,missing_price
743988,XLNX,2016,,missing_price
106040,WDC,2010,,missing_shares
106040,WDC,2011,5762872513.057709,ok
106040,WDC,2012,8406034465.484619,ok
106040,WDC,2013,16311676707.881927,ok
106040,WDC,2014,21582111193.17627,ok
106040,WDC,2015,11766653462.56256,ok
106040,WDC,2016,,missing_shares
1137789,STX,2010,,missing_shares
1137789,STX,2011,3728756998.6426306,ok
1137789,STX,2012,6705145394.620171,ok
1137789,STX,2013,11702760320.39769,ok
1137789,STX,2014,13018508314.56961,ok
1137789,STX,2015,7248340819.920959,ok
1137789,STX,2016,7655138042.463079,ok
707549,LRCX,2010,5432632902.8606415,ok
707549,LRCX,2011,5866541352.081299,ok
707549,LRCX,2012,4995980346.708298,ok
707549,LRCX,2013,7505055985.212326,ok
707549,LRCX,2014,10734997142.305374,ok
707549,LRCX,2015,10992061410.131454,ok
707549,LRCX,2016,,missing_shares
896878,INTU,2010,,missing_shares
896878,INTU,2011,13928889865.756989,ok
896878,INTU,2012,15641785357.521055,ok
896878,INTU,2013,20581211288.223267,ok
896878,INTU,2014,23899913848.495483,ok
896878,INTU,2015,24654392988.235474,ok
896878,INTU,2016,,missing_shares
849399,SYMC,2010,,missing_price
849399,SYMC,2011,,missing_price
849399,SYMC,2012,,missing_price
849399,SYMC,2013,,missing_price
849399,SYMC,2014,,missing_price
849399,SYMC,2015,,missing_price
849399,SYMC,2016,,missing_price
769397,ADSK,2010,8671400173.187256,ok
769397,ADSK,2011,6854579.982757568,ok
769397,ADSK,2012,7904259658.813477,ok
769397,ADSK,2013,11407543930.81665,ok
769397,ADSK,2014,13633620311.73706,ok
769397,ADSK,2015,13672692068.481443,ok
769397,ADSK,2016,,missing_shares
1124610,VMW,2010,,missing_price
1124610,VMW,2011,,missing_price
1124610,VMW,2012,,missing_price
1124610,VMW,2013,,missing_price
1124610,VMW,2014,,missing_price
1124610,VMW,2015,,missing_price
1124610,VMW,2016,,missing_price
712515,EA,2010,5293398138.999939,ok
712515,EA,2011,6397254638.671875,ok
712515,EA,2012,4255493400.5737305,ok
712515,EA,2013,6923571300.506592,ok
712515,EA,2014,14145579414.367676,ok
712515,EA,2015,20073635620.117188,ok
712515,EA,2016,,missing_shares
718877,ATVI,2010,,missing_price
