ticker,company_name,cik,year,revenue,net_income,assets,liabilities,equity,cash,debt,operating_income,gross_profit,shares_outstanding,data_source,data_quality_flag
ORCL,Oracle Corp,1341439,2018,37047000000.0,8901000000.0,134991000000.0,,53860000000.0,21716000000.0,,12604000000.0,22410000000.0,3981155000.0,sec_company_facts,ok
ORCL,Oracle Corp,1341439,2019,37792000000.0,9452000000.0,137851000000.0,,46372000000.0,21620000000.0,,12913000000.0,,3335819000.0,sec_company_facts,ok
ORCL,Oracle Corp,1341439,2020,39383000000.0,3587000000.0,108709000000.0,,21785000000.0,20514000000.0,,13264000000.0,,3068682000.0,sec_company_facts,ok
ORCL,Oracle Corp,1341439,2021,39506000000.0,11083000000.0,115438000000.0,,12074000000.0,37239000000.0,,13535000000.0,,2792000000.0,sec_company_facts,ok
ORCL,Oracle Corp,1341439,2022,39068000000.0,10135000000.0,131107000000.0,,5238000000.0,30098000000.0,0.0,13896000000.0,,2664926000.0,sec_company_facts,ok
ORCL,Oracle Corp,1341439,2023,40479000000.0,13746000000.0,109297000000.0,,-6220000000.0,21383000000.0,,15213000000.0,,2714259000.0,sec_company_facts,ok
ORCL,Oracle Corp,1341439,2024,42440000000.0,6717000000.0,134384000000.0,,1073000000.0,9765000000.0,,10926000000.0,,2755860000.0,sec_company_facts,ok
NFLX,Netflix Inc,1065280,2017,6779511000.0,122641000.0,13586610000.0,10906810000.0,1857708000.0,1113608000.0,3364311000.0,305826000.0,588196000.0,433948461.0,sec_company_facts,ok
NFLX,Netflix Inc,1065280,2018,1957736000.0,186678000.0,19012742000.0,15430786000.0,2223426000.0,2822795000.0,9048828000.0,49453000.0,895904000.0,436598597.0,sec_company_facts,ok
NFLX,Netflix Inc,1065280,2019,11692713000.0,558929000.0,25974400000.0,20735635000.0,2679800000.0,3794483000.0,14873195000.0,838679000.0,1400277000.0,438806649.0,sec_company_facts,ok
NFLX,Netflix Inc,1065280,2020,15794341000.0,1211242000.0,33975712000.0,26393555000.0,3581956000.0,5018437000.0,20723441000.0,1605226000.0,1650378000.0,442895261.0,sec_company_facts,ok
NFLX,Netflix Inc,1065280,2021,20156447000.0,1866916000.0,39280359000.0,28215119000.0,5238765000.0,8205550000.0,15809095000.0,2604254000.0,,443963107.0,sec_company_facts,ok
NFLX,Netflix Inc,1065280,2022,24996056000.0,2761395000.0,44584663000.0,28735415000.0,7582157000.0,6027804000.0,14693072000.0,4585289000.0,,445346776.0,sec_company_facts,ok
NFLX,Netflix Inc,1065280,2023,29697844000.0,5116228000.0,48594768000.0,27817367000.0,11065240000.0,5147176000.0,14353076000.0,6194509000.0,,432759584.0,sec_company_facts,ok
