ticker,company_name,cik,fundamentals_status,market_cap_status,model_output_status,filing_10k_status,filing_10q_status,current_market_status,final_data_status,failure_reason
REGN,Regeneron Pharmaceuticals Inc,872589,cached,ok,ok,ok,ok,ok,available,
BMY,Bristol-Myers Squibb Co,14272,cached,ok,ok,ok,ok,ok,available,
ISRG,Intuitive Surgical Inc,1035267,cached,ok,ok,ok,ok,ok,available,
HCA,HCA Healthcare Inc,860730,cached,ok,ok,ok,ok,ok,available,
BIIB,Biogen Inc,875045,cached,ok,ok,ok,ok,ok,available,
HD,Home Depot Inc,354950,cached,ok,ok,ok,ok,ok,available,
WMT,Walmart Inc,104169,cached,ok,ok,ok,ok,ok,available,
COST,Costco Wholesale Corp,909832,cached,ok,ok,ok,ok,ok,available,
NKE,Nike Inc,320187,cached,ok,ok,ok,ok,ok,available,
MCD,McDonald's Corp,63908,cached,ok,ok,ok,ok,ok,available,
SBUX,Starbucks Corp,829224,cached,ok,ok,ok,ok,ok,available,
LOW,Lowe's Companies Inc,60667,cached,ok,ok,ok,ok,ok,available,
TGT,Target Corp,27419,cached,ok,ok,ok,ok,ok,available,
BKNG,Booking Holdings Inc,1075531,cached,ok,ok,ok,ok,ok,available,
PG,Procter & Gamble Co,80424,cached,ok,ok,ok,ok,ok,available,
KO,Coca-Cola Co,21344,cached,ok,ok,ok,ok,ok,available,
PEP,PepsiCo Inc,77476,cached,ok,ok,ok,ok,ok,available,
PM,Philip Morris International Inc,1413329,cached,ok,ok,ok,ok,ok,available,
CL,Colgate-Palmolive Co,21665,cached,ok,ok,ok,ok,ok,available,
MDLZ,Mondelez International Inc,1418135,cached,ok,ok,ok,ok,ok,available,
GE,GE Aerospace,40554,no_data,skipped_no_fundamentals,not_in_outputs,pending,ok,pending,failed,extract returned 0 rows
HON,Honeywell International Inc,773840,cached,ok,ok,ok,ok,ok,available,
CAT,Caterpillar Inc,18230,cached,ok,ok,ok,ok,ok,available,
DE,Deere & Company,315189,cached,ok,ok,ok,ok,ok,available,
MMM,3M Co,66740,cached,ok,ok,ok,ok,ok,available,
UPS,United Parcel Service Inc,1090727,ok,ok,ok,ok,ok,ok,available,
BA,Boeing Co,12927,ok,ok,ok,ok,ok,ok,available,
LMT,Lockheed Martin Corp,936468,ok,ok,ok,ok,ok,ok,available,
FDX,FedEx Corp,230569,failed,skipped_no_fundamentals,not_in_outputs,pending,ok,pending,failed,SEC facts: requests: 404 Client Error: Not Found for url: https://data.sec.gov/api/xbrl/companyfacts/CIK0000230569.json | urllib: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>
NOC,Northrop Grumman Corp,1133421,ok,ok,ok,ok,ok,ok,available,
XOM,Exxon Mobil Corp,34088,ok,ok,ok,ok,ok,ok,available,
CVX,Chevron Corp,93410,ok,ok,ok,ok,ok,ok,available,
COP,ConocoPhillips,1163165,ok,ok,ok,ok,ok,ok,available,
SLB,Schlumberger Ltd,87347,ok,ok,ok,ok,ok,ok,available,
OXY,Occidental Petroleum Corp,797468,ok,ok,ok,ok,ok,ok,available,
NEE,NextEra Energy Inc,753308,ok,ok,ok,ok,ok,ok,available,
DUK,Duke Energy Corp,1326160,ok,ok,ok,ok,ok,ok,available,
SO,Southern Co,92122,ok,ok,ok,ok,ok,ok,available,
EQIX,Equinix Inc,1101239,ok,ok,ok,ok,ok,ok,available,
PLD,Prologis Inc,1045609,ok,ok,ok,ok,ok,ok,available,
AMT,American Tower Corp,1053354,failed,skipped_no_fundamentals,not_in_outputs,pending,ok,pending,failed,SEC facts: requests: 404 Client Error: Not Found for url: https://data.sec.gov/api/xbrl/companyfacts/CIK0001053354.json | urllib: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1032)>
CVS,CVS Health Corp,64803,ok,ok,ok,ok,ok,ok,available,
PYPL,PayPal Holdings Inc,1633917,ok,ok,ok,ok,ok,ok,available,
