ticker,company_name,cik,latest_10q_filing_date,latest_10q_period,latest_10q_form_type,latest_10q_total_words,latest_10q_risk_word_count,latest_10q_risk_score,latest_10q_risk_words_per_1000,latest_10q_debt_liquidity_mentions,latest_10q_legal_regulatory_mentions,latest_10q_uncertainty_mentions,latest_10q_cost_cyber_mentions,latest_10q_data_quality_flag,latest_10q_warning_text
EA,Electronic Arts Inc,712515,2026-02-03,2025-12-31,10-Q,12572.0,22.0,35.7,1.75,58.0,11.0,8.0,3.0,ok,
EBAY,eBay Inc,1065088,2026-04-29,2026-03-31,10-Q,12325.0,58.0,59.8,4.71,72.0,12.0,8.0,4.0,ok,
EQIX,Equinix Inc,1101239,2026-04-29,2026-03-31,10-Q,12640.0,99.0,69.7,7.83,61.0,18.0,14.0,4.0,ok,
FDX,FedEx Corp,230569,,,,,,,,,,,,submissions_error,Failed to fetch submissions for CIK 230569
FTNT,Fortinet Inc,1262039,2026-05-08,2026-03-31,10-Q,11947.0,84.0,62.3,7.03,32.0,27.0,6.0,20.0,ok,
GE,GE Aerospace,40554,2015-11-02,2015-09-30,10-Q,191.0,6.0,49.9,31.41,1.0,0.0,0.0,0.0,ok,
GILD,Gilead Sciences Inc,882184,2026-04-23,2026-03-31,10-Q,1508.0,12.0,85.8,7.96,16.0,12.0,4.0,0.0,ok,
GOOGL,Google Inc.,1288776,2015-10-29,2015-09-30,10-Q,465.0,6.0,49.5,12.9,0.0,2.0,0.0,0.0,ok,
GRMN,Garmin LTD,1121788,2026-04-29,2026-03-28,10-Q,10002.0,53.0,44.5,5.3,18.0,6.0,8.0,4.0,ok,
GS,Goldman Sachs Group Inc,886982,2026-05-01,2026-03-31,10-Q,5592.0,18.0,42.3,3.22,40.0,0.0,0.0,6.0,ok,
HCA,HCA Healthcare Inc,860730,2026-04-29,2026-03-31,10-Q,11520.0,54.0,62.4,4.69,82.0,11.0,7.0,10.0,ok,
HD,Home Depot Inc,354950,2026-05-27,2026-05-03,10-Q,8601.0,26.0,57.3,3.02,76.0,9.0,4.0,15.0,ok,
HON,Honeywell International Inc,773840,2026-04-23,2026-03-31,10-Q,11973.0,25.0,44.6,2.09,41.0,13.0,22.0,11.0,ok,
HPQ,HP Inc,47217,2026-05-28,2026-04-30,10-Q,12491.0,50.0,64.8,4.0,70.0,20.0,7.0,20.0,ok,
ICE,Intercontinental Exchange Inc,1571949,2026-04-30,2026-03-31,10-Q,12543.0,42.0,60.4,3.35,98.0,18.0,8.0,6.0,ok,
INTC,Intel Corp,50863,2026-04-24,2026-03-28,10-Q,148.0,1.0,48.3,6.76,1.0,0.0,0.0,0.0,ok,
INTU,Intuit Inc,896878,2026-05-20,2026-04-30,10-Q,12524.0,26.0,38.2,2.08,111.0,4.0,5.0,2.0,ok,
ISRG,Intuitive Surgical Inc,1035267,2026-04-22,2026-03-31,10-Q,12101.0,57.0,58.0,4.71,19.0,40.0,9.0,19.0,ok,
JNJ,Johnson & Johnson,200406,2026-04-22,2026-03-29,10-Q,12154.0,36.0,53.7,2.96,35.0,50.0,14.0,5.0,ok,
JNPR,Juniper Networks Inc,1043604,2025-05-09,2025-03-31,10-Q,12219.0,44.0,59.4,3.6,56.0,25.0,7.0,16.0,ok,
JPM,JPMorgan Chase & Co,19617,2026-05-01,2026-03-31,10-Q,12461.0,71.0,45.2,5.7,59.0,5.0,2.0,0.0,ok,
KLAC,KLA Corp,319201,2026-04-30,2026-03-31,10-Q,12256.0,16.0,48.3,1.31,63.0,19.0,51.0,2.0,ok,
KO,Coca-Cola Co,21344,2026-04-30,2026-04-03,10-Q,12523.0,41.0,64.1,3.27,74.0,19.0,12.0,18.0,ok,
LMT,Lockheed Martin Corp,936468,2026-04-23,2026-03-29,10-Q,12168.0,73.0,62.4,6.0,21.0,21.0,13.0,26.0,ok,
LOGI,Logitech International SA,1032975,2026-01-28,2025-12-31,10-Q,12139.0,57.0,50.0,4.7,15.0,10.0,14.0,20.0,ok,
LOW,Lowe's Companies Inc,60667,2026-05-28,2026-05-01,10-Q,9571.0,26.0,48.0,2.72,84.0,1.0,4.0,14.0,ok,
LRCX,LAM Research Corp,707549,2026-04-23,2026-03-29,10-Q,12087.0,75.0,54.6,6.21,42.0,13.0,5.0,7.0,ok,
MA,Mastercard Inc,1141391,2026-04-30,2026-03-31,10-Q,660.0,14.0,63.1,21.21,1.0,6.0,0.0,3.0,ok,
