ticker,company_name,latest_model_year,annual_10k_risk_score,annual_10k_filing_date,latest_10q_risk_score,latest_10q_filing_date,filing_risk_delta,filing_risk_trend,current_risk_warning_text
MCHP,,2024.0,63.3,,62.9,2026-02-05,-0.4,Stable,
MDLZ,,2024.0,51.8,,52.9,2026-04-23,1.1,Stable,
META,,2024.0,43.9,,41.7,2026-04-30,-2.2,Stable,
MMM,,2024.0,85.9,,44.8,2026-04-21,-41.1,Decreasing,
MPWR,,2024.0,67.6,,48.8,2026-05-04,-18.8,Decreasing,
MRK,,2024.0,23.7,,52.8,2026-05-04,29.1,Increasing,10-Q text unusually short; score may be inflated.
MRVL,,2021.0,81.8,,62.9,2020-12-04,-18.9,Decreasing,
MS,Morgan Stanley,,,,60.0,2026-05-05,,Unavailable,
MSFT,,2024.0,24.0,,43.6,2026-04-29,19.6,Increasing,
MSI,,2024.0,59.1,,32.1,2026-05-07,-27.0,Decreasing,
MU,,2024.0,50.0,,35.0,2026-06-25,-15.0,Decreasing,
NEE,,2024.0,42.9,,86.9,2026-04-23,44.0,Increasing,
NFLX,,2024.0,79.0,,31.1,2026-04-17,-47.9,Decreasing,
NKE,,2024.0,60.2,,31.9,2026-04-01,-28.3,Decreasing,
NOC,,2024.0,85.4,,57.9,2026-04-21,-27.5,Decreasing,
NOW,,2024.0,55.8,,31.7,2026-04-23,-24.1,Decreasing,
NVDA,,2024.0,38.8,,60.8,2026-05-20,22.0,Increasing,
OKTA,,2024.0,43.7,,35.2,2026-05-29,-8.5,Stable,
ON,,2024.0,40.8,,51.0,2026-05-13,10.2,Increasing,
ORCL,,2024.0,21.8,,32.5,2026-03-11,10.7,Increasing,
OXY,,2024.0,81.8,,64.7,2026-05-05,-17.1,Decreasing,
PANW,,2024.0,67.4,,36.1,2026-06-03,-31.3,Decreasing,
PEP,,2024.0,58.8,,69.8,2026-07-09,11.0,Increasing,
PFE,,2024.0,48.9,,71.3,2026-05-05,22.4,Increasing,
PG,,2024.0,74.2,,60.3,2026-04-24,-13.9,Decreasing,
PLD,,2024.0,70.7,,33.8,2026-04-30,-36.9,Decreasing,
PM,,2024.0,80.5,,54.1,2026-04-24,-26.4,Decreasing,
PYPL,,2024.0,52.4,,37.0,2026-05-05,-15.4,Decreasing,
QCOM,,2024.0,25.1,,64.4,2026-04-29,39.3,Increasing,
REGN,,2024.0,28.1,,39.4,2026-04-29,11.3,Increasing,
SBUX,,2024.0,53.5,,56.7,2026-04-28,3.2,Stable,
SCHW,Charles Schwab Corp,,,,,,,Unavailable,Failed to fetch submissions for CIK 316557
SLB,,2024.0,67.2,,64.6,2026-04-29,-2.6,Stable,
SNDK,Sandisk Corp,,,,27.7,2016-05-02,,Unavailable,
SNPS,,2024.0,63.4,,31.1,2026-05-27,-32.3,Decreasing,
SO,,2019.0,47.2,,34.9,2026-04-30,-12.3,Decreasing,
STX,,2024.0,50.0,,56.7,2026-04-29,6.7,Stable,
SWKS,,2024.0,67.0,,59.2,2026-05-05,-7.8,Stable,
SYMC,Symantec Corp,,,,45.2,2026-02-06,,Unavailable,
T,,2024.0,88.9,,26.7,2026-04-27,-62.2,Decreasing,
TGT,,2024.0,70.8,,52.4,2026-05-29,-18.4,Decreasing,
TMO,,2024.0,68.3,,56.5,2026-05-01,-11.8,Decreasing,
TMUS,,2024.0,83.3,,42.7,2026-04-28,-40.6,Decreasing,
TSLA,,2024.0,35.4,,63.5,2026-04-23,28.1,Increasing,
TXN,,2024.0,85.6,,67.0,2026-04-24,-18.6,Decreasing,
UNH,,2024.0,49.5,,74.4,2026-05-05,24.9,Increasing,
UPS,,2024.0,78.7,,55.2,2026-05-06,-23.5,Decreasing,
V,,2024.0,37.7,,44.3,2026-04-29,6.6,Stable,
VMW,VMware Inc,,,,27.2,2023-09-07,,Unavailable,
VRTX,,2024.0,11.6,,30.1,2026-05-05,18.5,Increasing,
VZ,,2024.0,68.7,,49.4,2026-05-01,-19.3,Decreasing,
WDAY,,2024.0,58.7,,56.1,2026-05-22,-2.6,Stable,
WDC,,2024.0,61.7,,43.8,2026-05-01,-17.9,Decreasing,
WFC,,2019.0,66.8,,63.8,2026-04-29,-3.0,Stable,
WMT,,2024.0,39.8,,57.2,2026-05-29,17.4,Increasing,
XLNX,Xilinx Inc,,,,57.3,2022-01-27,,Unavailable,
XOM,,2024.0,51.6,,49.1,2026-05-04,-2.5,Stable,
ZS,,2024.0,61.9,,42.7,2026-05-26,-19.2,Decreasing,
