ticker,current_price,current_market_cap,previous_close,daily_change_pct,volume,shares_outstanding,last_updated,data_quality_flag
AAPL,321.29998779296875,4719047303510.986,325.8900146484375,-1.4084588815709385,11727164.0,14687356000.0,2026-07-23T11:28:58,ok
ABBV,258.05999755859375,455938551073.80096,253.3000030517578,1.8791924395923945,837509.0,1766792821.0,2026-07-23T11:28:58,ok
ABT,101.37000274658203,176567604205.0127,100.56999969482422,0.795468881560496,2531913.0,1741813154.0,2026-07-23T11:28:58,ok
ADBE,213.9499969482422,85045123786.92627,218.36000061035156,-2.0196023309134916,1220147.0,397500000.0,2026-07-23T11:28:58,ok
ADI,375.2900085449219,182798899403.7207,386.7300109863281,-2.9581367146111353,1123115.0,487087040.0,2026-07-23T11:28:58,ok
ADSK,203.4949951171875,42967001821.26233,203.5,-0.0024594018734643737,424178.0,211145251.0,2026-07-23T11:28:58,ok
AKAM,120.55999755859375,17527669617.61505,124.30000305175781,-3.008853902929307,848592.0,145385451.0,2026-07-23T11:28:58,ok
AMAT,561.1699829101562,445546199764.4574,553.9199829101562,1.3088533043907036,2034048.0,793959430.0,2026-07-23T11:28:58,ok
AMD,537.1699829101562,875909717384.9199,552.3300170898438,-2.744742040196146,8311029.0,1630600639.0,2026-07-23T11:28:58,ok
AMGN,368.70001220703125,198990447212.03577,366.04998779296875,0.723951510021988,434402.0,539708274.0,2026-07-23T11:28:58,ok
AMZN,232.33999633789062,2499306766966.529,244.85000610351562,-5.10925442261828,19033411.0,10757109436.0,2026-07-23T11:28:58,ok
AVGO,387.42498779296875,1843205450134.2197,396.80999755859375,-2.3651142419210824,4763178.0,4757580198.0,2026-07-23T11:28:58,ok
AXP,339.6300048828125,231738533167.7621,348.739990234375,-2.6122571562383836,931547.0,682326443.0,2026-07-23T11:28:58,ok
BA,207.2100067138672,163344131299.06714,208.64999389648438,-0.6901448477068229,1608209.0,788302331.0,2026-07-23T11:28:58,ok
BAC,60.86000061035156,427078406565.72943,61.619998931884766,-1.2333630878074362,8951194.0,7017967460.0,2026-07-23T11:28:58,ok
BIIB,202.83999633789062,29946712271.61673,197.74000549316406,2.5791396293365993,201113.0,147637117.0,2026-07-23T11:28:58,ok
BKNG,172.11000061035156,133364328092.90826,177.86000061035156,-3.2328797820016124,1342150.0,774878436.0,2026-07-23T11:28:58,ok
BLK,1043.800048828125,161784194606.33423,1056.6300048828125,-1.2142335534102526,143113.0,154995389.0,2026-07-23T11:28:58,ok
BMY,61.7599983215332,126112809339.46451,60.7599983215332,1.6458196636348528,1725684.0,2042071247.0,2026-07-23T11:28:58,ok
C,131.36000061035156,220343265023.8037,132.25,-0.6729674023806711,2811441.0,1677400000.0,2026-07-23T11:28:58,ok
CAT,901.35498046875,415156877841.02783,889.3099975585938,1.3544189251468126,711357.0,460591983.0,2026-07-23T11:28:58,ok
CB,351.0,136138897206.0,343.2300109863281,2.263784857082727,770048.0,387860106.0,2026-07-23T11:28:58,ok
CDNS,333.30950927734375,91932095610.83984,337.010009765625,-1.098038746936561,392599.0,275816000.0,2026-07-23T11:28:58,ok
CHTR,125.30000305175781,17689650191.842194,129.22000122070312,-3.0335846865146645,1583641.0,141178370.0,2026-07-23T11:28:58,ok
CL,90.1500015258789,72137067517.49199,91.62999725341797,-1.6151869168410957,1177466.0,800189310.0,2026-07-23T11:28:58,ok
CMCSA,22.7450008392334,81250341526.89851,23.520000457763672,-3.295066341184765,13984265.0,3572228557.0,2026-07-23T11:28:58,ok
CME,256.1679992675781,92567276460.82562,249.24000549316406,2.7796475773244507,807959.0,361322751.0,2026-07-23T11:28:58,ok
COF,197.27999877929688,121031279251.09863,201.36000061035156,-2.02622259569309,1401368.0,613500000.0,2026-07-23T11:28:58,ok
COP,122.02999877929688,148668416187.0347,118.79000091552734,2.727500495663371,1727010.0,1218294007.0,2026-07-23T11:28:58,ok
COST,920.4450073242188,408197850995.9158,927.3099975585938,-0.7403123283960091,492793.0,443478804.0,2026-07-23T11:28:58,ok
CRM,156.1199951171875,127862276000.97656,163.0,-4.220861891296012,4635773.0,819000000.0,2026-07-23T11:28:58,ok
CSCO,112.37999725341797,442938416827.2264,112.20999908447266,0.15150001811989716,3817529.0,3941434665.0,2026-07-23T11:28:58,ok
