ticker,year,report_risk_score_real,risk_score_source,risk_score_components,filing_data_quality_flag,filing_warning_text
AKAM,2014,45.4,real_sec_filing,"risk_per1k=7.8, debt=11, legal=26, uncertainty=18, cost+cyber=3",ok,
AKAM,2015,46.9,real_sec_filing,"risk_per1k=8.0, debt=13, legal=30, uncertainty=13, cost+cyber=3",ok,
AKAM,2017,40.5,real_sec_filing,"risk_per1k=8.9, debt=5, legal=29, uncertainty=9, cost+cyber=12",ok,
AKAM,2018,60.2,real_sec_filing,"risk_per1k=10.0, debt=18, legal=39, uncertainty=12, cost+cyber=13",ok,
AKAM,2019,60.8,real_sec_filing,"risk_per1k=10.3, debt=19, legal=45, uncertainty=7, cost+cyber=15",ok,
AKAM,2020,55.8,real_sec_filing,"risk_per1k=10.1, debt=6, legal=59, uncertainty=9, cost+cyber=20",ok,
AKAM,2021,56.3,real_sec_filing,"risk_per1k=11.6, debt=7, legal=35, uncertainty=8, cost+cyber=26",ok,
AKAM,2022,61.5,real_sec_filing,"risk_per1k=13.1, debt=6, legal=40, uncertainty=10, cost+cyber=32",ok,
AKAM,2023,59.3,real_sec_filing,"risk_per1k=14.5, debt=4, legal=35, uncertainty=12, cost+cyber=34",ok,
AKAM,2024,57.4,real_sec_filing,"risk_per1k=12.3, debt=5, legal=36, uncertainty=10, cost+cyber=35",ok,
AMAT,2011,10.9,real_sec_filing,"risk_per1k=3.7, debt=0, legal=6, uncertainty=5, cost+cyber=7",ok,
AMAT,2012,18.7,real_sec_filing,"risk_per1k=4.3, debt=4, legal=6, uncertainty=6, cost+cyber=8",ok,
AMAT,2014,21.1,real_sec_filing,"risk_per1k=5.5, debt=4, legal=8, uncertainty=6, cost+cyber=7",ok,
AMAT,2015,58.1,real_sec_filing,"risk_per1k=10.0, debt=18, legal=18, uncertainty=16, cost+cyber=27",ok,
AMAT,2017,66.0,real_sec_filing,"risk_per1k=11.9, debt=20, legal=22, uncertainty=19, cost+cyber=23",ok,
AMAT,2018,70.1,real_sec_filing,"risk_per1k=12.3, debt=20, legal=25, uncertainty=20, cost+cyber=30",ok,
AMAT,2019,67.0,real_sec_filing,"risk_per1k=12.5, debt=22, legal=19, uncertainty=17, cost+cyber=28",ok,
AMAT,2020,69.6,real_sec_filing,"risk_per1k=14.2, debt=22, legal=23, uncertainty=15, cost+cyber=21",ok,
AMAT,2021,55.6,real_sec_filing,"risk_per1k=14.0, debt=6, legal=16, uncertainty=12, cost+cyber=25",ok,
AMAT,2022,61.7,real_sec_filing,"risk_per1k=14.7, debt=6, legal=24, uncertainty=13, cost+cyber=32",ok,
AMAT,2023,60.7,real_sec_filing,"risk_per1k=13.6, debt=6, legal=29, uncertainty=10, cost+cyber=36",ok,
AMAT,2024,66.8,real_sec_filing,"risk_per1k=14.8, debt=7, legal=36, uncertainty=12, cost+cyber=42",ok,
AMZN,2011,45.5,real_sec_filing,"risk_per1k=9.2, debt=9, legal=22, uncertainty=24, cost+cyber=1",ok,
AMZN,2012,50.3,real_sec_filing,"risk_per1k=9.2, debt=12, legal=24, uncertainty=27, cost+cyber=1",ok,
AMZN,2013,44.6,real_sec_filing,"risk_per1k=9.3, debt=6, legal=24, uncertainty=33, cost+cyber=1",ok,
AMZN,2014,43.5,real_sec_filing,"risk_per1k=9.8, debt=4, legal=27, uncertainty=33, cost+cyber=1",ok,
AMZN,2015,44.0,real_sec_filing,"risk_per1k=9.8, debt=4, legal=26, uncertainty=40, cost+cyber=1",ok,
AMZN,2017,40.6,real_sec_filing,"risk_per1k=9.5, debt=4, legal=26, uncertainty=22, cost+cyber=1",ok,
AMZN,2018,42.3,real_sec_filing,"risk_per1k=9.7, debt=5, legal=25, uncertainty=22, cost+cyber=1",ok,
AMZN,2019,51.8,real_sec_filing,"risk_per1k=11.8, debt=4, legal=40, uncertainty=21, cost+cyber=4",ok,
AMZN,2020,55.5,real_sec_filing,"risk_per1k=12.7, debt=4, legal=41, uncertainty=21, cost+cyber=6",ok,
AMZN,2021,57.9,real_sec_filing,"risk_per1k=12.9, debt=4, legal=42, uncertainty=23, cost+cyber=8",ok,
